activity_id,start_date_local,start_date_utc,name,sport_type,trainer,commute,moving_time_sec,elapsed_time_sec,distance_m,distance_mi,total_elevation_gain_m,total_elevation_gain_ft,average_speed_mps,average_speed_mph,max_speed_mps,max_speed_mph,average_heartrate,max_heartrate,average_watts,weighted_average_watts,kilojoules,average_cadence,device_name,achievement_count,pr_count,suffer_score,calories,perceived_exertion,has_heartrate,has_run_segments
A0001,2026-05-14 4:05:28,2026-05-14T18:05:28Z,Zwift - May Field in Watopia,VirtualRun,FALSE,FALSE,998,1002,3123.6,1.9409144556,0,0,3.13,7.0016222,3.26,7.2924244,151.2,162,,,,90.7,Zwift Run,,,,,,,TRUE
A0002,2026-05-14 3:04:25,2026-05-14T17:04:25Z,Zwift - Tempus Fugit in Watopia,VirtualRide,FALSE,FALSE,3494,3494,32568.4,20.2370592764,52,170.60368,9.321,20.85051774,11.28,25.2326832,129.4,145,129.5,131,452.6,100.8,Zwift,,,,,,,
A0003,2026-05-13 14:59:30,2026-05-14T04:59:30Z,Night Walk,Walk,FALSE,FALSE,1635,1635,2092.4,1.3001566804,26.8,87.926512,1.28,2.8632832,2.14,4.7870516,89.9,103,,,,,Apple Watch Ultra,,,,,,,
A0004,2026-05-13 9:40:31,2026-05-13T23:40:31Z,Afternoon Run,Run,FALSE,FALSE,3501,3504,9943.6,6.1786646756,281,921.91604,2.84,6.3529096,4.46,9.9767524,147.9,169,213.1,220,746.1,,Apple Watch Ultra,,,,,,,TRUE
A0005,2026-05-13 0:10:59,2026-05-13T14:10:59Z,Morning Swim,Swim,TRUE,FALSE,2940,2940,2080.3,1.2926380913,0,0,0.708,1.58375352,4.58,10.2451852,120.7,145,,,,,Apple Watch Ultra,,,,,,,
A0006,2026-05-12 14:39:14,2026-05-13T04:39:14Z,Outdoor Walk,Walk,FALSE,FALSE,1461,1479,2000.8,1.2432390968,27.7,90.879268,1.369,3.06237086,1.92,4.2949248,109.5,113,,,,54,,,,,,,,
A0007,2026-05-12 13:55:03,2026-05-13T03:55:03Z,Fitbod - Kettlebell Conditioning,WeightTraining,TRUE,FALSE,1983,1983,,,0,0,0,0,0,0,,,,,,,Fitbod,,,,,,,
A0008,2026-05-12 2:33:29,2026-05-12T16:33:29Z,Zwift - Tempus Fugit in Watopia,VirtualRide,FALSE,FALSE,4348,4348,40614.9,25.2369210279,64,209.97376,9.341,20.89525654,13.94,31.1829436,133.3,168,134.7,164,585.7,98.8,Zwift,,,,,,,
A0009,2026-05-11 14:52:07,2026-05-12T04:52:07Z,Night Walk,Walk,FALSE,FALSE,1583,1583,2081.9,1.2936322849,28,91.86352,1.315,2.9415761,2.187,4.89218778,92.7,99,,,,,Apple Watch Ultra,,,,,,,
A0010,2026-05-11 12:28:07,2026-05-12T02:28:07Z,Fitbod - Sore in 6 mins - Chest,WeightTraining,TRUE,FALSE,440,440,,,0,0,0,0,0,0,,,,,,,Fitbod,,,,,,,
