activity_id,start_date_local,activity_name,sport_type,split_index,split_start_sec,split_end_sec,duration_sec,distance_mi,avg_speed_mph,avg_hr,max_hr,avg_power,avg_cadence,elevation_gain_ft,elevation_loss_ft,is_partial_split
A0002,2026-05-14 03:04:25,Zwift - Tempus Fugit in Watopia,VirtualRide,1,0,300,300.0,1.653,19.7,111.9,120.0,129.1,98.0,21.0,17.7,FALSE
A0002,2026-05-14 03:04:25,Zwift - Tempus Fugit in Watopia,VirtualRide,2,300,600,300.0,1.774,21.3,121.2,128.0,133.0,101.3,15.7,3.9,FALSE
A0002,2026-05-14 03:04:25,Zwift - Tempus Fugit in Watopia,VirtualRide,3,600,900,300.0,1.765,21.2,122.4,129.0,125.9,100.8,6.6,20.3,FALSE
A0002,2026-05-14 03:04:25,Zwift - Tempus Fugit in Watopia,VirtualRide,4,900,1200,300.0,1.713,20.6,125.8,129.0,133.0,100.7,26.2,19.7,FALSE
A0002,2026-05-14 03:04:25,Zwift - Tempus Fugit in Watopia,VirtualRide,5,1200,1500,300.0,1.800,21.6,127.4,129.0,129.0,101.0,6.6,11.2,FALSE
A0002,2026-05-14 03:04:25,Zwift - Tempus Fugit in Watopia,VirtualRide,6,1500,1800,300.0,1.700,20.4,131.7,137.0,134.6,101.7,17.1,19.0,FALSE
A0002,2026-05-14 03:04:25,Zwift - Tempus Fugit in Watopia,VirtualRide,7,1800,2100,300.0,1.841,22.1,134.4,137.0,136.0,102.0,17.1,13.8,FALSE
A0002,2026-05-14 03:04:25,Zwift - Tempus Fugit in Watopia,VirtualRide,8,2100,2400,300.0,1.759,21.1,134.7,136.0,128.0,100.9,5.2,6.6,FALSE
A0002,2026-05-14 03:04:25,Zwift - Tempus Fugit in Watopia,VirtualRide,9,2400,2700,300.0,1.797,21.6,135.8,140.0,130.8,100.6,19.0,21.0,FALSE
A0002,2026-05-14 03:04:25,Zwift - Tempus Fugit in Watopia,VirtualRide,10,2700,3000,300.0,1.778,21.4,136.2,139.0,130.8,100.2,24.3,19.7,FALSE
A0002,2026-05-14 03:04:25,Zwift - Tempus Fugit in Watopia,VirtualRide,11,3000,3300,300.0,1.670,20.0,136.8,139.0,127.4,100.3,6.6,11.2,FALSE
A0002,2026-05-14 03:04:25,Zwift - Tempus Fugit in Watopia,VirtualRide,12,3300,3494,194.0,0.985,18.5,137.9,145.0,146.1,102.7,18.4,18.4,TRUE
A0008,2026-05-12 02:33:29,Zwift - Tempus Fugit in Watopia,VirtualRide,1,0,300,300.0,1.597,19.0,107.1,114.0,119.4,95.9,21.0,16.4,FALSE
A0008,2026-05-12 02:33:29,Zwift - Tempus Fugit in Watopia,VirtualRide,2,300,600,300.0,1.693,20.3,110.4,115.0,114.3,97.9,7.9,4.6,FALSE
