date,in_bed,asleep,snoring,rhr,hrv,body_weight_lb,other_notes,run_count,bike_count,swim_count,walk_count,strength_count,other_count,tri_session_count,total_session_count,run_miles,bike_miles,swim_miles,training_minutes,tri_training_minutes,total_elevation_ft,avg_hr_all,max_hr_all,avg_power_bike,weighted_power_bike,avg_cadence_bike,avg_cadence_run,avg_pace_run_min_per_mi,sauna_mins,notes
2026-05-14,,,,,,,,1,1,0,0,0,0,2,2,1.94,20.24,0,74.9,74.9,171,134.2,162,129.5,131,100.8,181.4,8.57,,
2026-05-13,,,,,,,,1,0,1,1,0,0,2,3,6.18,0,1.29,134.6,107.4,1010,126.3,169,,,,,9.44,,
2026-05-12,,,,,,,,0,1,0,1,1,0,1,3,0,25.24,0,129.9,72.5,301,127.3,168,134.7,164,98.8,,,15,
2026-05-11,,,,,,,,0,0,0,1,1,0,0,2,0,0,0,33.7,0,92,92.7,99,,,,,,20,
2026-05-10,,,,,,,,0,1,0,1,0,0,1,2,0,40.13,0,151.1,123.6,417,118.1,156,118.8,132,97.3,,,,
2026-05-09,,,,,,,,0,0,1,1,0,0,1,2,0,0,2.09,108,78.6,102,115.1,151,,,,,,,
2026-05-08,,,,,,,,1,0,1,2,0,0,2,4,2.92,0,1.25,116.2,78.6,425,116.4,155,,,,175,10.23,,
2026-05-07,,,,,,,,1,1,0,1,1,0,2,4,2.01,20.27,0,156.2,79.9,363,119.6,160,116.7,118,97.9,172.8,9.6,20,
2026-05-06,,,,,,,,1,0,1,1,0,0,2,3,6.51,0,0.89,131.8,101.7,1054,121,161,,,,,9.27,,
2026-05-05,,,,,,,,0,1,0,0,0,0,1,1,0,24.2,0,72.1,72.1,476,131.7,163,128.1,157,97.5,,,20,
2026-05-04,,,,,,,,0,0,0,1,0,0,0,1,0,0,0,26.7,0,102,83.6,103,,,,,,20,
2026-05-03,,,,,,,,0,1,0,1,0,1,1,3,0,43.99,0,198.4,153.5,1468,114.9,150,137.4,149,88,,,,
2026-05-02,,,,,,,,0,0,1,1,0,0,1,2,0,0,2.06,105,77,95,114.9,154,,,,,,,
2026-05-01,,,,,,,,1,0,1,3,0,0,2,5,4.01,0,1.02,141.5,82.1,396,110.9,150,,,,173,10.41,,
2026-04-30,,,,,,,,1,1,0,3,0,1,2,6,1.98,20.25,0,154.2,78.4,624,107.8,151,121,122,98.1,180.6,9.21,20,
2026-04-29,,,,,,,,1,0,1,1,0,1,2,4,6.05,0,1.19,146.6,102.3,93,117,152,,,,180.2,9.06,,
2026-04-28,,,,,,,,0,1,0,1,1,0,1,3,0,25.16,0,128.1,73.9,287,108.1,126,115.8,117,97.9,,,20,
2026-04-27,,,,,,,,0,0,0,1,1,1,0,3,0,0,0,56.3,0,94,75.9,92,,,,,,20,
2026-04-26,,,,,,,,0,1,0,1,0,1,1,3,0,40.15,0,162.3,119.3,419,112.2,137,124.6,125,98.6,,,,
2026-04-25,,,,,,,,0,0,1,1,0,0,1,2,0,0,1.11,73.6,45.2,155,102.7,142,,,,,,,
2026-04-24,,,,,,,,1,0,1,1,0,0,2,3,8.19,0,1.08,154.2,125.9,1241,127,157,,,,,9.56,,
2026-04-23,,,,,,,,1,1,0,2,0,0,2,4,1.96,20.15,0,99.5,73.1,253,121.6,150,137.1,141,97.5,180.6,9.24,20,
2026-04-22,,,,,,,,1,0,1,2,0,0,2,4,6.52,0,1.31,158.1,114,222,121.8,158,,,,173.2,9.73,,
