activity_id,start_date_local,activity_name,sport_type,split_index,split_start_sec,split_end_sec,distance_mi,moving_time_sec,elapsed_time_sec,pace_min_per_mi,avg_hr,max_hr,avg_cadence_raw,avg_cadence_run,elevation_gain_ft,elevation_loss_ft,is_partial_split
A0001,2026-05-14 04:05:28,Zwift - May Field in Watopia,VirtualRun,1,0,521.9,1.000,521.9,521.9,8.7,145.1,155.0,90.2,180.4,3.3,0.0,FALSE
A0001,2026-05-14 04:05:28,Zwift - May Field in Watopia,VirtualRun,2,521.9,1002,0.941,477.1,480.1,8.5,157.9,162.0,91.1,182.2,0.0,0.0,TRUE
A0004,2026-05-13 09:40:31,Afternoon Run,Run,1,0,572.4,1.000,572.4,572.4,9.5,130.7,144.0,,,131.9,178.1,FALSE
A0004,2026-05-13 09:40:31,Afternoon Run,Run,2,572.4,1099.4,1.000,527,527,8.8,145.4,162.0,,,131.2,169.3,FALSE
A0004,2026-05-13 09:40:31,Afternoon Run,Run,3,1099.4,1659.7,1.000,560.3,560.3,9.3,148.4,164.0,,,132.5,170.8,FALSE
A0004,2026-05-13 09:40:31,Afternoon Run,Run,4,1659.7,2219.3,1.000,559.5,559.5,9.3,151.7,168.0,,,138.0,140.6,FALSE
A0004,2026-05-13 09:40:31,Afternoon Run,Run,5,2219.3,2801.7,1.000,582.5,582.5,9.7,153.9,169.0,,,165.2,131.9,FALSE
A0004,2026-05-13 09:40:31,Afternoon Run,Run,6,2801.7,3382.6,1.000,580.9,580.9,9.7,154.7,169.0,,,167.7,132.5,FALSE
A0004,2026-05-13 09:40:31,Afternoon Run,Run,7,3382.6,3504,0.179,119.4,121.4,11.1,157.9,160.0,,,55.4,6.6,TRUE
A0017,2026-05-08 02:37:54,Zwift - May Field in Watopia,VirtualRun,1,0,627.7,1.000,627.7,627.7,10.5,123.7,137.0,87.2,174.4,3.3,0.0,FALSE
A0017,2026-05-08 02:37:54,Zwift - May Field in Watopia,VirtualRun,2,627.7,1214,1.000,586.3,586.3,9.8,138.4,143.0,88.0,176.0,0.0,0.0,FALSE
A0017,2026-05-08 02:37:54,Zwift - May Field in Watopia,VirtualRun,3,1214,1798,0.924,581,584,10.5,138.5,147.0,87.4,174.8,0.0,0.0,TRUE
A0021,2026-05-07 03:30:08,Zwift - May Field in Watopia,VirtualRun,1,0,568.7,1.000,568.7,568.7,9.5,138.1,153.0,87.4,174.8,3.3,0.0,FALSE
A0021,2026-05-07 03:30:08,Zwift - May Field in Watopia,VirtualRun,2,568.7,1148.4,1.000,579.7,579.7,9.7,151.1,160.0,85.8,171.6,0.0,0.0,FALSE
A0021,2026-05-07 03:30:08,Zwift - May Field in Watopia,VirtualRun,3,1148.4,1161,0.008,9.6,12.6,20.1,132.8,134.0,60.2,120.4,0.0,0.0,TRUE
A0024,2026-05-06 09:54:51,Afternoon Run,Run,1,0,549.2,1.000,536.2,549.2,8.9,125.0,141.0,,,97.2,192.3,FALSE
A0024,2026-05-06 09:54:51,Afternoon Run,Run,2,549.2,1229.1,1.000,677.9,679.9,11.3,144.9,149.0,,,356.8,0.0,FALSE
A0024,2026-05-06 09:54:51,Afternoon Run,Run,3,1229.1,1849.8,1.000,620.7,620.7,10.4,146.9,153.0,,,210.0,26.2,FALSE
A0024,2026-05-06 09:54:51,Afternoon Run,Run,4,1849.8,2372.9,1.000,522.1,523.1,8.7,146.5,154.0,,,70.2,200.1,FALSE
