activity_id,activity_date,swim_context,split_index,split_type,distance,distance_unit,duration_sec,pace_sec_per_100,since_start_sec,stroke_style,stroke_count,swolf,avg_hr,max_hr,start_ts,end_ts,source_row_key,pool_length,pool_length_unit
A0005,2026-05-13 00:10:59,pool,1,swim_interval,50.000,yd,51.0,102.0,0.0,,,,78.3,79.0,0,51,A0005:1,,
A0005,2026-05-13 00:10:59,pool,2,swim_interval,25.000,yd,42.0,168.0,51.0,,,,97.0,127.0,51,93,A0005:2,,
A0005,2026-05-13 00:10:59,pool,3,rest_interval,0.000,yd,16.0,,93.0,,,,,,93,109,A0005:3:REST,,
A0005,2026-05-13 00:10:59,pool,4,swim_interval,25.000,yd,3.0,12.0,109.0,,,,0.0,100.0,109,112,A0005:4,,
A0005,2026-05-13 00:10:59,pool,5,rest_interval,0.000,yd,22.0,,112.0,,,,,,112,134,A0005:5:REST,,
A0005,2026-05-13 00:10:59,pool,6,swim_interval,25.000,yd,3.0,12.0,134.0,,,,0.0,108.0,134,137,A0005:6,,
A0005,2026-05-13 00:10:59,pool,7,rest_interval,0.000,yd,30.0,,137.0,,,,,,137,167,A0005:7:REST,,
A0005,2026-05-13 00:10:59,pool,8,swim_interval,25.000,yd,2.0,8.0,167.0,,,,0.0,102.0,167,169,A0005:8,,
A0005,2026-05-13 00:10:59,pool,9,rest_interval,0.000,yd,17.0,,169.0,,,,,,169,186,A0005:9:REST,,
A0005,2026-05-13 00:10:59,pool,10,swim_interval,25.000,yd,40.0,160.0,186.0,,,,102.6,107.0,186,226,A0005:10,,
A0005,2026-05-13 00:10:59,pool,11,swim_interval,25.000,yd,3.0,12.0,226.0,,,,0.0,98.0,226,229,A0005:11,,
A0005,2026-05-13 00:10:59,pool,12,rest_interval,0.000,yd,17.0,,229.0,,,,,,229,246,A0005:12:REST,,
A0005,2026-05-13 00:10:59,pool,13,swim_interval,25.000,yd,4.0,16.0,246.0,,,,111.0,111.0,246,250,A0005:13,,
A0005,2026-05-13 00:10:59,pool,14,rest_interval,0.000,yd,35.0,,250.0,,,,,,250,285,A0005:14:REST,,
A0005,2026-05-13 00:10:59,pool,15,swim_interval,25.000,yd,3.0,12.0,285.0,,,,101.3,102.0,285,288,A0005:15,,
A0005,2026-05-13 00:10:59,pool,16,rest_interval,0.000,yd,19.0,,288.0,,,,,,288,307,A0005:16:REST,,
A0005,2026-05-13 00:10:59,pool,17,swim_interval,25.000,yd,3.0,12.0,307.0,,,,0.0,106.0,307,310,A0005:17,,
A0005,2026-05-13 00:10:59,pool,18,rest_interval,0.000,yd,31.0,,310.0,,,,,,310,341,A0005:18:REST,,
A0005,2026-05-13 00:10:59,pool,19,swim_interval,25.000,yd,5.0,20.0,341.0,,,,104.0,104.0,341,346,A0005:19,,
A0005,2026-05-13 00:10:59,pool,20,rest_interval,0.000,yd,14.0,,346.0,,,,,,346,360,A0005:20:REST,,
A0005,2026-05-13 00:10:59,pool,21,swim_interval,25.000,yd,5.0,20.0,360.0,,,,0.0,107.0,360,365,A0005:21,,
A0005,2026-05-13 00:10:59,pool,22,rest_interval,0.000,yd,34.0,,365.0,,,,,,365,399,A0005:22:REST,,
A0005,2026-05-13 00:10:59,pool,23,swim_interval,25.000,yd,5.0,20.0,399.0,,,,102.4,103.0,399,404,A0005:23,,
A0005,2026-05-13 00:10:59,pool,24,rest_interval,0.000,yd,18.0,,404.0,,,,,,404,422,A0005:24:REST,,
